ID,X,Y,Z,formation,azimuth,dip,polarity,fault,overturned,erosion,source,type,use,depth
S-185,583100,5245360,2121,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-186,581496,5245130,1791,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-187,581156,5245090,1734,Schrattenkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-188,583188,5245290,2068,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-189,583362,5245340,2008,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-190,583171,5245170,2120,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-191,583307,5245020,2082,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-192,583764,5245160,1952,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-193,583601,5244840,2067,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-194,584482,5244890,1811,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-195,583837,5244790,2013,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-196,584938,5244650,1655,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-197,582967,5245140,2122,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-198,582926,5245030,2129,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-199,585595,5243510,1272,Garschella,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-200,582268,5248700,1463,Drusberg,0,0,1,n,y,0,Huth 1998,interface,y,0
S-201,582507,5248630,1525,Drusberg,0,0,1,n,y,0,Huth 1998,interface,y,0
S-202,582960,5248460,1729,Drusberg,0,0,1,n,y,0,Huth 1998,interface,y,0
S-203,583350,5248210,1798,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-204,582954,5249040,1284,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-205,583179,5248920,1302,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-206,583560,5248850,1406,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-207,583860,5248020,1793,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-208,584045,5247940,1812,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-209,584178,5248980,1333,Drusberg,0,0,1,n,y,0,Huth 1998,interface,y,0
S-210,584277,5248930,1428,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-220,584210,5248880,1445,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-221,584341,5247850,1832,Drusberg,0,0,1,n,n,0,Huth 1998,interface,y,0
S-222,579580,5246700,1230,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-223,580114,5246550,1405,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-224,580545,5246450,1579,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-225,580167,5244140,1622,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-226,580619,5244620,1619,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-227,580887,5245230,1623,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-228,581070,5245190,1657,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-229,581486,5245190,1732,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-230,582460,5245130,1829,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-231,582855,5245230,1963,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-232,582622,5245710,1839,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-233,582165,5245990,1671,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-234,581979,5246010,1634,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-235,581661,5246300,1663,Drusberg,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-236,579564,5246640,1193,Kieselkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-237,580266,5246470,1410,Kieselkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-238,579828,5244090,1344,Kieselkalk,0,0,1,n,n,0,Tomsu 1998,interface,y,0
S-239,582453,5244810,1862,Garschella,0,0,1,n,n,1,Sinreich 1998,interface,y,0
S-240,582645,5244330,1687,Garschella,0,0,1,n,n,1,Sinreich 1998,interface,y,0
S-241,583428,5243780,1447,Garschella,0,0,1,n,n,1,Sinreich 1998,interface,y,0
S-242,583508,5243110,1401,Garschella,0,0,1,n,n,1,Sinreich 1998,interface,y,0
S-243,588547,5247960,1473,Garschella,0,0,1,n,n,1,Mittelberg,interface,y,0
S-244,588897,5247460,1331,Garschella,0,0,1,n,n,1,Mittelberg,interface,y,0
S-245,589327,5247150,1223,Garschella,0,0,1,n,n,1,Mittelberg,interface,y,0
S-246,588759,5247250,1240,Garschella,0,0,1,n,n,1,Mittelberg,interface,y,0
S-247,589704,5247060,1137,Garschella,0,0,1,n,n,1,Mittelberg,interface,y,0
S-248,584290,5248410,1606,Amdener,0,0,1,n,n,0,Goldscheider 1997,interface,y,0
S-249,584270,5248340,1634,Amdener,0,0,1,n,y,0,Goldscheider 1997,interface,y,0
S-250,584629,5248320,1661,Amdener,0,0,1,n,n,0,Huth 1998,interface,y,0
S-251,584613,5248220,1676,Amdener,0,0,1,n,y,0,Goldscheider 1997,interface,y,0
S-252,584738,5248160,1721,Amdener,0,0,1,n,y,0,Huth 1998,interface,y,0
S-253,581804,5249120,1227,Amdener,0,0,1,n,n,0,Huth 1998,interface,y,0
S-254,584157,5245910,1912,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-255,583533,5246670,1889,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-256,584634,5246820,1753,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
